professionName,strategyName,mean,std,count_nonzero
Lawyer,"ZeroBDT, 0.6PRT, 0.2ROIT",37.98802395209581,14.521375967842221,835
Lawyer,"ZeroBDT, 0.3PRT, 0.5ROIT",38.35044642857143,15.070855362743178,896
Lawyer,"ZeroBDT, 0.6PRT, 0.5ROIT",38.36065573770492,14.948403563218626,854
Lawyer,"ZeroBDT, 0.6PRT, 0.8ROIT",38.36065573770492,14.948403563218626,854
Lawyer,"ZeroBDT, -0.3PRT, 0.4ROIT",38.37568455640745,15.748299135296236,913
Engineer,"ZeroBDT, 0.3PRT, 0.8ROIT",38.50832408435072,14.946020933470606,901
Lawyer,"ZeroBDT, -1.0PRT, 0.4ROIT",38.710583153347734,15.813385923396279,926
Lawyer,"ZeroBDT, 0.3PRT, 0.8ROIT",38.73392461197339,15.223971324635091,902
Doctor,"ZeroBDT, 0.0PRT, 0.0ROIT",38.87896592244418,13.052677592784951,851
Doctor,"ZeroBDT, 0.3PRT, 0.0ROIT",38.87896592244418,13.052677592784951,851
Doctor,"ZeroBDT, -1.0PRT, 0.0ROIT",38.94607268464244,13.058981374311577,853
Doctor,"ZeroBDT, -0.3PRT, 0.0ROIT",38.94607268464244,13.058981374311577,853
Doctor,"ZeroBDT, 0.6PRT, 0.0ROIT",39.16463414634146,13.169634959624833,820
Airline Pilot,"ZeroBDT, 0.3PRT, 0.0ROIT",39.27944862155388,14.785911898213223,798
Airline Pilot,"ZeroBDT, 0.0PRT, 0.0ROIT",39.27944862155388,14.785911898213223,798
Doctor,"ZeroBDT, 0.0PRT, 0.5ROIT",39.346875,13.291372170163523,960
Airline Pilot,"ZeroBDT, -0.3PRT, 0.0ROIT",39.38625,15.068290469047067,800
Airline Pilot,"ZeroBDT, -1.0PRT, 0.0ROIT",39.38625,15.068290469047067,800
Business Manager,"ZeroBDT, 0.0PRT, 0.5ROIT",39.44816414686825,15.998750352518659,926
Business Manager,"ZeroBDT, -1.0PRT, 0.0ROIT",40.235370611183356,15.90206018490017,769
Business Manager,"ZeroBDT, -0.3PRT, 0.0ROIT",40.235370611183356,15.90206018490017,769
Business Manager,"ZeroBDT, 0.0PRT, 0.0ROIT",40.3142112125163,16.003886403721328,767
Business Manager,"ZeroBDT, 0.3PRT, 0.0ROIT",40.3142112125163,16.003886403721328,767
Airline Pilot,"ZeroBDT, 0.0PRT, 0.8ROIT",40.465408805031444,15.596343051155428,954
Airline Pilot,"ZeroBDT, 0.6PRT, 0.0ROIT",40.53047989623865,15.880153165967748,771
Engineer,"ZeroBDT, 0.0PRT, 0.5ROIT",40.55048859934853,15.832887562455516,921
Police Officer,"ZeroBDT, -1.0PRT, 0.2ROIT",40.58644859813084,16.407586421168567,856
Police Officer,"ZeroBDT, -0.3PRT, 0.2ROIT",40.58644859813084,16.407586421168567,856
Police Officer,"ZeroBDT, 0.3PRT, 0.2ROIT",40.60981308411215,16.53752343516194,856
Police Officer,"ZeroBDT, 0.0PRT, 0.2ROIT",40.646028037383175,16.55858804385902,856
Police Officer,"ZeroBDT, 0.3PRT, 0.4ROIT",40.6705069124424,17.202899522809467,868
Lawyer,"ZeroBDT, 0.0PRT, 0.5ROIT",40.71739130434783,16.799610135222267,920
Police Officer,"ZeroBDT, 0.0PRT, 0.4ROIT",40.796082949308754,17.228262859491704,868
Business Manager,"ZeroBDT, 0.6PRT, 0.0ROIT",40.93628808864266,16.128517711413394,722
Police Officer,"ZeroBDT, 0.6PRT, 0.2ROIT",41.14323258869908,17.62882611131373,761
Police Officer,"ZeroBDT, 0.6PRT, 0.4ROIT",41.24226804123711,18.30651051501756,776
Engineer,"ZeroBDT, -1.0PRT, 0.0ROIT",41.80181347150259,15.960094426007686,772
Engineer,"ZeroBDT, -0.3PRT, 0.0ROIT",41.80181347150259,15.960094426007686,772
Engineer,"ZeroBDT, 0.0PRT, 0.0ROIT",41.910737386804655,16.091095954444555,773
Engineer,"ZeroBDT, 0.3PRT, 0.0ROIT",41.910737386804655,16.091095954444555,773
Airline Pilot,"ZeroBDT, -0.3PRT, 0.5ROIT",41.912772585669785,18.02535384923183,963
Police Officer,"ZeroBDT, 0.6PRT, 0.5ROIT",41.99870298313878,18.577426558496782,771
Police Officer,"ZeroBDT, 0.6PRT, 0.8ROIT",41.99870298313878,18.577426558496782,771
Nurse,"ZeroBDT, 0.3PRT, 0.4ROIT",42.02240566037736,17.453279658257408,848
Lawyer,"ZeroBDT, 0.3PRT, 0.0ROIT",42.13550135501355,17.046765027903444,738
Lawyer,"ZeroBDT, 0.0PRT, 0.0ROIT",42.13550135501355,17.046765027903444,738
Nurse,"ZeroBDT, 0.0PRT, 0.4ROIT",42.14487632508834,17.455373699945056,849
Lawyer,"ZeroBDT, -1.0PRT, 0.0ROIT",42.201079622132255,17.099985741115535,741
Lawyer,"ZeroBDT, -0.3PRT, 0.0ROIT",42.201079622132255,17.099985741115535,741
Engineer,"ZeroBDT, 0.6PRT, 0.0ROIT",42.342215988779806,16.56611283677311,713
